platform,campaign_id,adset_id,ad_id,ad_name,creative_id,ad_quality_latent
Meta,C_CT2CXIFS,AS_8X76RKQ4,AD_Z9XFZAQ8,How-to | Collection | 1,CR_N1U322N6,0.605
TikTok,C_Z0C99AFT,AS_H236I5A7,AD_LLIGYU6Y,How-to | Collection | 1,CR_VUHT6T0U,0.64
TikTok,C_Z0C99AFT,AS_H236I5A7,AD_0PRZVS2I,Product Demo | Collection | 2,CR_JRSNVNQ6,0.607
TikTok,C_Z0C99AFT,AS_H236I5A7,AD_I06T9U9N,How-to | Carousel | 3,CR_DOECVE6P,0.734
TikTok,C_Z0C99AFT,AS_H236I5A7,AD_MNSWIL68,How-to | Collection | 4,CR_VUHT6T0U,0.68
TikTok,C_Z0C99AFT,AS_UHW9408S,AD_DDMRKSQJ,Lifestyle | Carousel | 1,CR_5E8II49K,0.682
TikTok,C_Z0C99AFT,AS_UHW9408S,AD_DSN8CW2G,How-to | Image | 2,CR_7A9TGIQH,0.672
TikTok,C_9O9YP6SD,AS_DAQM2OX8,AD_ELL6HYC1,How-to | Image | 1,CR_7A9TGIQH,0.713
TikTok,C_9O9YP6SD,AS_DAQM2OX8,AD_R9QIKQAV,Testimonial | Video | 2,CR_PGW90JPK,0.638
TikTok,C_9O9YP6SD,AS_3JCJUDT5,AD_7E6K088Z,Product Demo | Collection | 1,CR_I3LDQYUN,0.778
TikTok,C_9O9YP6SD,AS_3JCJUDT5,AD_FWONVVXS,Offer | Video | 2,CR_8DUDD467,0.65
TikTok,C_9O9YP6SD,AS_N749AHW2,AD_Q8SB7X66,Product Demo | Image | 1,CR_ERW6Z8VB,0.512
TikTok,C_9O9YP6SD,AS_N749AHW2,AD_25CSMU6F,Product Demo | Collection | 2,CR_JRSNVNQ6,0.635
TikTok,C_9O9YP6SD,AS_N749AHW2,AD_GK88AENN,Lifestyle | Collection | 3,CR_H3I379U2,0.615
TikTok,C_9O9YP6SD,AS_1GN81EJB,AD_Q9EOQ0Y2,UGC | Video | 1,CR_IG8F1CBF,0.727
TikTok,C_9O9YP6SD,AS_1GN81EJB,AD_Z1UBYH8A,Lifestyle | Carousel | 2,CR_5E8II49K,0.59
Snapchat,C_ECEW6GST,AS_ZB4K8OIZ,AD_99JHCAZ8,How-to | Carousel | 1,CR_WQC38HYF,0.683
Snapchat,C_ECEW6GST,AS_ZB4K8OIZ,AD_9FTNWN06,UGC | Image | 2,CR_PE29GD8A,0.568
Snapchat,C_ECEW6GST,AS_JKLOQMHL,AD_EQGM5VWI,Lifestyle | Collection | 1,CR_I65FDHJK,0.609
Snapchat,C_ECEW6GST,AS_JKLOQMHL,AD_PGSEMU52,UGC | Image | 2,CR_PK3YR9OU,0.68
Snapchat,C_ECEW6GST,AS_JKLOQMHL,AD_VTJXU1KA,Testimonial | Image | 3,CR_XMECOSFO,0.636
Snapchat,C_ECEW6GST,AS_UPO1RXIV,AD_GLFRI8MQ,Offer | Image | 1,CR_N8I4P40M,0.647
Snapchat,C_ECEW6GST,AS_UPO1RXIV,AD_EEB6BZNC,Testimonial | Image | 2,CR_054NZDKY,0.488
Snapchat,C_ECEW6GST,AS_UPO1RXIV,AD_9Q884JXZ,Testimonial | Carousel | 3,CR_MQC1A78M,0.663
Snapchat,C_ECEW6GST,AS_UPO1RXIV,AD_OSI366FZ,Product Demo | Collection | 4,CR_M3WTOOBM,0.616
Snapchat,C_X6APK6I2,AS_4WCO5OEQ,AD_43CCUG7R,Offer | Collection | 1,CR_1VRJNVGF,0.66
Snapchat,C_X6APK6I2,AS_4WCO5OEQ,AD_Q8LYYXE7,UGC | Carousel | 2,CR_9J1ICTXC,0.623
Snapchat,C_X6APK6I2,AS_4WCO5OEQ,AD_QYO7ZWW5,Testimonial | Image | 3,CR_QCG1WU16,0.641
Snapchat,C_X6APK6I2,AS_4A6I2KOE,AD_HO0VH444,Lifestyle | Video | 1,CR_3XKXWNRE,0.6
Snapchat,C_X6APK6I2,AS_4A6I2KOE,AD_NK0BPCIK,Lifestyle | Carousel | 2,CR_5E8II49K,0.605
Snapchat,C_X6APK6I2,AS_4A6I2KOE,AD_I6CJDKQL,UGC | Video | 3,CR_ESPRVU8F,0.672
Snapchat,C_X6APK6I2,AS_7ZBSFN24,AD_L6QKV3EO,Lifestyle | Image | 1,CR_JAG1OL73,0.658
Snapchat,C_X6APK6I2,AS_7ZBSFN24,AD_YYIGBM76,UGC | Video | 2,CR_FS6VFPTO,0.694
Snapchat,C_X6APK6I2,AS_7ZBSFN24,AD_0JGL4C86,Product Demo | Collection | 3,CR_M3WTOOBM,0.623
Snapchat,C_X6APK6I2,AS_7ZBSFN24,AD_HF4I8A17,Product Demo | Video | 4,CR_GPMM82I1,0.699
Snapchat,C_X6APK6I2,AS_0XC71O4Y,AD_FS80QMAA,How-to | Collection | 1,CR_VUHT6T0U,0.582
Snapchat,C_X6APK6I2,AS_0XC71O4Y,AD_7H7AYNU0,UGC | Video | 2,CR_ESPRVU8F,0.664
Snapchat,C_XGJ1QQ81,AS_ZN0994LX,AD_ZIHO2KGN,How-to | Collection | 1,CR_VUHT6T0U,0.551
Snapchat,C_XGJ1QQ81,AS_ZN0994LX,AD_6ZV9DKYA,How-to | Image | 2,CR_OEVB9OOA,0.605
Snapchat,C_XGJ1QQ81,AS_ZN0994LX,AD_FJ41FEQO,Lifestyle | Carousel | 3,CR_IWEPXSK2,0.534
Snapchat,C_XGJ1QQ81,AS_ZN0994LX,AD_XFCYZ7SD,Testimonial | Carousel | 4,CR_MQC1A78M,0.573
Snapchat,C_XGJ1QQ81,AS_L52AM7SM,AD_AKFRZWZZ,Lifestyle | Carousel | 1,CR_IWEPXSK2,0.498
Snapchat,C_XGJ1QQ81,AS_L52AM7SM,AD_M7AEF9S9,Testimonial | Carousel | 2,CR_N0YBY4AW,0.541
Snapchat,C_XGJ1QQ81,AS_WWROM3ZA,AD_SVH6Q8Q2,Offer | Image | 1,CR_N8I4P40M,0.589
Snapchat,C_XGJ1QQ81,AS_WWROM3ZA,AD_Y4PV33B4,Testimonial | Collection | 2,CR_YJNE00V8,0.592
Snapchat,C_XGJ1QQ81,AS_WWROM3ZA,AD_HQEYOOU0,Lifestyle | Video | 3,CR_3XKXWNRE,0.571
Snapchat,C_XGJ1QQ81,AS_WWROM3ZA,AD_W78AQPSF,Testimonial | Image | 4,CR_LV0PRKGY,0.61
Snapchat,C_XGJ1QQ81,AS_ZVE9L4UW,AD_PQNOMPWJ,Product Demo | Collection | 1,CR_JRSNVNQ6,0.603
Snapchat,C_XGJ1QQ81,AS_ZVE9L4UW,AD_GHF5A8C4,How-to | Carousel | 2,CR_YY37Q9AH,0.714
Snapchat,C_XU5R5L6R,AS_7148C6WZ,AD_AANYGUXQ,Testimonial | Image | 1,CR_XMECOSFO,0.619
Snapchat,C_XU5R5L6R,AS_7148C6WZ,AD_L9QPR4VX,Product Demo | Image | 2,CR_YR0QF4B8,0.647
Snapchat,C_XU5R5L6R,AS_7148C6WZ,AD_L51N0XXZ,Testimonial | Image | 3,CR_QCG1WU16,0.593
Snapchat,C_XU5R5L6R,AS_R2LIOGRP,AD_AL05I78U,How-to | Image | 1,CR_7A9TGIQH,0.653
Snapchat,C_XU5R5L6R,AS_R2LIOGRP,AD_5TQ9DZGK,Testimonial | Video | 2,CR_PGW90JPK,0.648
Snapchat,C_XU5R5L6R,AS_R2LIOGRP,AD_DNQ4G2VQ,UGC | Video | 3,CR_FS6VFPTO,0.703
Snapchat,C_XX99QWB0,AS_8LSWU652,AD_V0ZEFKVO,How-to | Carousel | 1,CR_YY37Q9AH,0.747
Snapchat,C_XX99QWB0,AS_8LSWU652,AD_UUSRZR2X,Testimonial | Video | 2,CR_PGW90JPK,0.686
Snapchat,C_XX99QWB0,AS_720KLBIP,AD_GGE49DBZ,Lifestyle | Image | 1,CR_T6MJXK87,0.589
Snapchat,C_XX99QWB0,AS_720KLBIP,AD_7FGQJFYT,Offer | Video | 2,CR_8DUDD467,0.694
Snapchat,C_XX99QWB0,AS_720KLBIP,AD_OPS2II7K,How-to | Collection | 3,CR_UZRENUN5,0.538
Snapchat,C_XX99QWB0,AS_BCWU438R,AD_178TW48O,Lifestyle | Image | 1,CR_T6MJXK87,0.633
Snapchat,C_XX99QWB0,AS_BCWU438R,AD_F2TX0QJT,UGC | Image | 2,CR_B9M80O2R,0.642
Snapchat,C_XX99QWB0,AS_BCWU438R,AD_AA7IWS48,How-to | Carousel | 3,CR_WQC38HYF,0.747
Snapchat,C_XX99QWB0,AS_BCWU438R,AD_A54TA1SO,Testimonial | Image | 4,CR_QCG1WU16,0.677
Snapchat,C_XX99QWB0,AS_A9XM091Z,AD_F1P7RS8R,How-to | Collection | 1,CR_UZRENUN5,0.512
Snapchat,C_XX99QWB0,AS_A9XM091Z,AD_0MELISH3,Testimonial | Image | 2,CR_88O5OR15,0.565
Snapchat,C_XX99QWB0,AS_A9XM091Z,AD_2R5MUBJD,How-to | Carousel | 3,CR_DOECVE6P,0.697
Snapchat,C_8BLGSRI2,AS_A5NV0T5X,AD_ZE84LMQY,UGC | Video | 1,CR_ESPRVU8F,0.721
Snapchat,C_8BLGSRI2,AS_A5NV0T5X,AD_AHPY2PCM,Testimonial | Collection | 2,CR_CP4E30MY,0.604
Snapchat,C_8BLGSRI2,AS_A5NV0T5X,AD_3G7N4YTU,Lifestyle | Collection | 3,CR_I65FDHJK,0.617
Snapchat,C_8BLGSRI2,AS_KC97HQ4T,AD_1UAKRHZP,Product Demo | Video | 1,CR_K42QPR75,0.681
Snapchat,C_8BLGSRI2,AS_KC97HQ4T,AD_AC4JXFPK,How-to | Collection | 2,CR_1W103DGD,0.591
Snapchat,C_8BLGSRI2,AS_KC97HQ4T,AD_5FVDDWJ8,How-to | Carousel | 3,CR_DOECVE6P,0.705
Snapchat,C_8BLGSRI2,AS_KC97HQ4T,AD_GI5OU9W2,Testimonial | Collection | 4,CR_YJNE00V8,0.696
